# galuboy patch-array antenna pattern
# N=16  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=12.04 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-75,-65,-20.000
-75,-60,-20.000
-75,-55,-20.000
-75,-50,-20.000
-75,-45,-20.000
-75,-40,-20.000
-75,-35,-20.000
-75,-30,-20.000
-75,-25,-20.000
-75,-20,-20.000
-75,-15,-20.000
-75,-10,-20.000
-75,-5,-20.000
-75,0,-20.000
-75,5,-20.000
-75,10,-20.000
-75,15,-20.000
-75,20,-20.000
-75,25,-20.000
-75,30,-20.000
-75,35,-20.000
-75,40,-20.000
-75,45,-20.000
-75,50,-20.000
-75,55,-20.000
-75,60,-20.000
-75,65,-20.000
-75,70,-20.000
-75,75,-20.000
-75,80,-20.000
-75,85,-20.000
-75,90,-20.000
-70,-90,-20.000
-70,-85,-20.000
-70,-80,-20.000
-70,-75,-20.000
-70,-70,-20.000
-70,-65,-20.000
-70,-60,-20.000
-70,-55,-20.000
-70,-50,-20.000
-70,-45,-20.000
-70,-40,-20.000
-70,-35,-20.000
-70,-30,-20.000
-70,-25,-20.000
-70,-20,-20.000
-70,-15,-20.000
-70,-10,-20.000
-70,-5,-20.000
-70,0,-20.000
-70,5,-20.000
-70,10,-20.000
-70,15,-20.000
-70,20,-20.000
-70,25,-20.000
-70,30,-20.000
-70,35,-20.000
-70,40,-20.000
-70,45,-20.000
-70,50,-20.000
-70,55,-20.000
-70,60,-20.000
-70,65,-20.000
-70,70,-20.000
-70,75,-20.000
-70,80,-20.000
-70,85,-20.000
-70,90,-20.000
-65,-90,-20.000
-65,-85,-20.000
-65,-80,-20.000
-65,-75,-20.000
-65,-70,-20.000
-65,-65,-15.308
-65,-60,-15.308
-65,-55,-15.308
-65,-50,-15.308
-65,-45,-15.308
-65,-40,-15.308
-65,-35,-15.308
-65,-30,-15.308
-65,-25,-15.308
-65,-20,-15.308
-65,-15,-15.308
-65,-10,-15.308
-65,-5,-15.308
-65,0,-15.308
-65,5,-15.308
-65,10,-15.308
-65,15,-15.308
-65,20,-15.308
-65,25,-15.308
-65,30,-15.308
-65,35,-15.308
-65,40,-15.308
-65,45,-15.308
-65,50,-15.308
-65,55,-15.308
-65,60,-15.308
-65,65,-15.308
-65,70,-20.000
-65,75,-20.000
-65,80,-20.000
-65,85,-20.000
-65,90,-20.000
-60,-90,-20.000
-60,-85,-20.000
-60,-80,-20.000
-60,-75,-20.000
-60,-70,-20.000
-60,-65,-15.308
-60,-60,-3.979
-60,-55,-3.979
-60,-50,-3.979
-60,-45,-3.979
-60,-40,-3.979
-60,-35,-3.979
-60,-30,-3.979
-60,-25,-3.979
-60,-20,-3.979
-60,-15,-3.979
-60,-10,-3.979
-60,-5,-3.979
-60,0,-3.979
-60,5,-3.979
-60,10,-3.979
-60,15,-3.979
-60,20,-3.979
-60,25,-3.979
-60,30,-3.979
-60,35,-3.979
-60,40,-3.979
-60,45,-3.979
-60,50,-3.979
-60,55,-3.979
-60,60,-3.979
-60,65,-15.308
-60,70,-20.000
-60,75,-20.000
-60,80,-20.000
-60,85,-20.000
-60,90,-20.000
-55,-90,-20.000
-55,-85,-20.000
-55,-80,-20.000
-55,-75,-20.000
-55,-70,-20.000
-55,-65,-15.308
-55,-60,-3.979
-55,-55,7.349
-55,-50,7.349
-55,-45,7.349
-55,-40,7.349
-55,-35,7.349
-55,-30,7.349
-55,-25,7.349
-55,-20,7.349
-55,-15,7.349
-55,-10,7.349
-55,-5,7.349
-55,0,7.349
-55,5,7.349
-55,10,7.349
-55,15,7.349
-55,20,7.349
-55,25,7.349
-55,30,7.349
-55,35,7.349
-55,40,7.349
-55,45,7.349
-55,50,7.349
-55,55,7.349
-55,60,-3.979
-55,65,-15.308
-55,70,-20.000
-55,75,-20.000
-55,80,-20.000
-55,85,-20.000
-55,90,-20.000
-50,-90,-20.000
-50,-85,-20.000
-50,-80,-20.000
-50,-75,-20.000
-50,-70,-20.000
-50,-65,-15.308
-50,-60,-3.979
-50,-55,7.349
-50,-50,12.041
-50,-45,12.041
-50,-40,12.041
-50,-35,12.041
-50,-30,12.041
-50,-25,12.041
-50,-20,12.041
-50,-15,12.041
-50,-10,12.041
-50,-5,12.041
-50,0,12.041
-50,5,12.041
-50,10,12.041
-50,15,12.041
-50,20,12.041
-50,25,12.041
-50,30,12.041
-50,35,12.041
-50,40,12.041
-50,45,12.041
-50,50,12.041
-50,55,7.349
-50,60,-3.979
-50,65,-15.308
-50,70,-20.000
-50,75,-20.000
-50,80,-20.000
-50,85,-20.000
-50,90,-20.000
-45,-90,-20.000
-45,-85,-20.000
-45,-80,-20.000
-45,-75,-20.000
-45,-70,-20.000
-45,-65,-15.308
-45,-60,-3.979
-45,-55,7.349
-45,-50,12.041
-45,-45,12.041
-45,-40,12.041
-45,-35,12.041
-45,-30,12.041
-45,-25,12.041
-45,-20,12.041
-45,-15,12.041
-45,-10,12.041
-45,-5,12.041
-45,0,12.041
-45,5,12.041
-45,10,12.041
-45,15,12.041
-45,20,12.041
-45,25,12.041
-45,30,12.041
-45,35,12.041
-45,40,12.041
-45,45,12.041
-45,50,12.041
-45,55,7.349
-45,60,-3.979
-45,65,-15.308
-45,70,-20.000
-45,75,-20.000
-45,80,-20.000
-45,85,-20.000
-45,90,-20.000
-40,-90,-20.000
-40,-85,-20.000
-40,-80,-20.000
-40,-75,-20.000
-40,-70,-20.000
-40,-65,-15.308
-40,-60,-3.979
-40,-55,7.349
-40,-50,12.041
-40,-45,12.041
-40,-40,12.041
-40,-35,12.041
-40,-30,12.041
-40,-25,12.041
-40,-20,12.041
-40,-15,12.041
-40,-10,12.041
-40,-5,12.041
-40,0,12.041
-40,5,12.041
-40,10,12.041
-40,15,12.041
-40,20,12.041
-40,25,12.041
-40,30,12.041
-40,35,12.041
-40,40,12.041
-40,45,12.041
-40,50,12.041
-40,55,7.349
-40,60,-3.979
-40,65,-15.308
-40,70,-20.000
-40,75,-20.000
-40,80,-20.000
-40,85,-20.000
-40,90,-20.000
-35,-90,-20.000
-35,-85,-20.000
-35,-80,-20.000
-35,-75,-20.000
-35,-70,-20.000
-35,-65,-15.308
-35,-60,-3.979
-35,-55,7.349
-35,-50,12.041
-35,-45,12.041
-35,-40,12.041
-35,-35,12.041
-35,-30,12.041
-35,-25,12.041
-35,-20,12.041
-35,-15,12.041
-35,-10,12.041
-35,-5,12.041
-35,0,12.041
-35,5,12.041
-35,10,12.041
-35,15,12.041
-35,20,12.041
-35,25,12.041
-35,30,12.041
-35,35,12.041
-35,40,12.041
-35,45,12.041
-35,50,12.041
-35,55,7.349
-35,60,-3.979
-35,65,-15.308
-35,70,-20.000
-35,75,-20.000
-35,80,-20.000
-35,85,-20.000
-35,90,-20.000
-30,-90,-20.000
-30,-85,-20.000
-30,-80,-20.000
-30,-75,-20.000
-30,-70,-20.000
-30,-65,-15.308
-30,-60,-3.979
-30,-55,7.349
-30,-50,12.041
-30,-45,12.041
-30,-40,12.041
-30,-35,12.041
-30,-30,12.041
-30,-25,12.041
-30,-20,12.041
-30,-15,12.041
-30,-10,12.041
-30,-5,12.041
-30,0,12.041
-30,5,12.041
-30,10,12.041
-30,15,12.041
-30,20,12.041
-30,25,12.041
-30,30,12.041
-30,35,12.041
-30,40,12.041
-30,45,12.041
-30,50,12.041
-30,55,7.349
-30,60,-3.979
-30,65,-15.308
-30,70,-20.000
-30,75,-20.000
-30,80,-20.000
-30,85,-20.000
-30,90,-20.000
-25,-90,-20.000
-25,-85,-20.000
-25,-80,-20.000
-25,-75,-20.000
-25,-70,-20.000
-25,-65,-15.308
-25,-60,-3.979
-25,-55,7.349
-25,-50,12.041
-25,-45,12.041
-25,-40,12.041
-25,-35,12.041
-25,-30,12.041
-25,-25,12.041
-25,-20,12.041
-25,-15,12.041
-25,-10,12.041
-25,-5,12.041
-25,0,12.041
-25,5,12.041
-25,10,12.041
-25,15,12.041
-25,20,12.041
-25,25,12.041
-25,30,12.041
-25,35,12.041
-25,40,12.041
-25,45,12.041
-25,50,12.041
-25,55,7.349
-25,60,-3.979
-25,65,-15.308
-25,70,-20.000
-25,75,-20.000
-25,80,-20.000
-25,85,-20.000
-25,90,-20.000
-20,-90,-20.000
-20,-85,-20.000
-20,-80,-20.000
-20,-75,-20.000
-20,-70,-20.000
-20,-65,-15.308
-20,-60,-3.979
-20,-55,7.349
-20,-50,12.041
-20,-45,12.041
-20,-40,12.041
-20,-35,12.041
-20,-30,12.041
-20,-25,12.041
-20,-20,12.041
-20,-15,12.041
-20,-10,12.041
-20,-5,12.041
-20,0,12.041
-20,5,12.041
-20,10,12.041
-20,15,12.041
-20,20,12.041
-20,25,12.041
-20,30,12.041
-20,35,12.041
-20,40,12.041
-20,45,12.041
-20,50,12.041
-20,55,7.349
-20,60,-3.979
-20,65,-15.308
-20,70,-20.000
-20,75,-20.000
-20,80,-20.000
-20,85,-20.000
-20,90,-20.000
-15,-90,-20.000
-15,-85,-20.000
-15,-80,-20.000
-15,-75,-20.000
-15,-70,-20.000
-15,-65,-15.308
-15,-60,-3.979
-15,-55,7.349
-15,-50,12.041
-15,-45,12.041
-15,-40,12.041
-15,-35,12.041
-15,-30,12.041
-15,-25,12.041
-15,-20,12.041
-15,-15,12.041
-15,-10,12.041
-15,-5,12.041
-15,0,12.041
-15,5,12.041
-15,10,12.041
-15,15,12.041
-15,20,12.041
-15,25,12.041
-15,30,12.041
-15,35,12.041
-15,40,12.041
-15,45,12.041
-15,50,12.041
-15,55,7.349
-15,60,-3.979
-15,65,-15.308
-15,70,-20.000
-15,75,-20.000
-15,80,-20.000
-15,85,-20.000
